commitMsg,changeType,bugFix,featureAddition,performanceImprovement
[ml] adjust assignment serialization versions after backport (#89071)          ... of #88855,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"improve efficiency of boundedbreakiteratorscanner fragmentation algorithm (#89041)          as discussed in #73569 the current implementation is too slow in certain scenarios.          the inefficient part of the code can be stated as the following problem:          given a text (gettext()) and a position in this text (offset), find the sentence     boundary before and after the offset, in such a way that the after boundary is     maximal but respects end boundary - start boundary < fragment size.          in case it's impossible to produce an after boundary that respects the said     condition, use the nearest boundary following offset.          the current approach begins by finding the nearest preceding and following boundaries,     and expands the following boundary greedily while it respects the problem restriction. this     is fine asymptotically, but breakiterator which is used to find each boundary is sometimes     expensive.          this new approach maximizes the after boundary by scanning for the last boundary     preceding the position that would cause the condition to be violated (i.e. knowing start     boundary and offset, how many characters are left before resulting length is fragment size).     if this scan finds the start boundary, it means it's impossible to satisfy the problem     restriction, and we get the first boundary following offset instead (or better, since we     already scanned [offset, targetendoffset], start from targetendoffset + 1).","[0, 0, 0, 0, 2, 0, 0, 2, 0, 0, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 0, 6, 3, 0]",1,1,1
[ml] mute model deployment rolling upgrade tests for backport (#89069)          ... of #88855,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1
"make org.elasticsearch.cluster.routing.routingnode#copyshards use array (#88788)          we used this in three spots, where it copies potentially huge arrays.     one of those spots doesn't need the `copyshards` call at all     and can use the normal iterator as there's no concurrent modfication.          the other two spots can at least just use an array, which will iterate     a little faster than a mutable list and also potentially saves another     round copying the array in the `arraylist` constructor that the compiler     seems to not be able to eliminate in all cases.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 0, 0, 1, 0]",1,1,1
rest tests and spec for bulk update api keys (#89027)          this pr adds rest api spec and yaml test files for the bulkupdateapikey     operation.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"wrap code in new tracing contexts where required (#88920)          part of #84369. split out from #88443. this pr wraps parts of the code     in a new tracing context. this is necessary so that a tracing     implementation can use the thread context to propagate tracing headers,     but without the code attempting to set the same key twice in the thread     context, which is illegal. in order to avoid future diff noise, the wrapped     code has mostly been refactored into methods.          note that in some places we actually clear the tracing context     completely. this is done where the operation to be performed should have     no association with the current trace context. for example, when     creating a new index via a rest request, the resulting background tasks     for the index should not be associated with the rest request in     perpetuity.","[0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 6, 4, 6, 2, 0]",1,1,1
"refactor authentication handling for grant actions (#88944)          this pr establishes a cleaner contract between `transportgrantaction`     and its sub-classes: it instruments checking grant authentication     instead of requiring this of sub-classes, and allows these to override     a handler method for successfully granted authentication.          closes #88636","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 0, 4, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 2, 0]",0,1,1
"[ml] previously assigned models should get at least one allocation (#88855)          when for some reason ml nodes are replaced (cluster resize, upgrade, etc.),     it is possible that some models cannot be allocated at all. then, while     the cluster is temporarily undersized, all cores are given for allocations     of the models that have survived. if those ml nodes return later, there may     be model deployments that were previously allocated that now do not get any     allocations. the reason is that our planner will try to preserve all current     allocations.          operationally, this is not what serves best our users. instead, as we are     already in a cluster that does not have enough resources to fully allocate     all model deployments, we should try to give at least one allocation to each     model that has previously been allocated.          in order to know a model has previously been allocated, this commit adds a field     to `trainedmodelassignment` called `max_assigned_allocations` which records the     max number of allocations a deployment has received in its life. we can then use     this to establish whether a deployment has ever been allocated.          finally, we modify the `assignmentplanner` so that after computing a plan we     check whether the plan gives at least one allocation to all previously allocated models.     if not, we then compute a plan that tries to give at least one allocation to each     previously allocated model. we can solve this just using bin-packing. having that     plan we can invoke the planner one more time to optimize the rest of the allocations     whilst preserving the single allocations for previously allocated models.          ","[0, 0, 0, 0, 15, 3, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 5, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 17, 2, 0, 75, 0]",0,0,1
"rename ignoredindexsettings to ignoreindexsettings in mountsearchablesnapshotrequest (#79604)          relates to #75982, #88987 and #89061          co-authored-by: tanguy leroux <tlrx.dev@gmail.com>     co-authored-by: gaobinlong <bellengao@tencent.com>","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0]",0,1,0
"health api - monitoring local disk health (#88390)          this pr introduces the local health monitoring functionality needed for     #84811 . the monitor uses the `nodeservice` to get the disk usage stats     and determines the node's disk health.          when a change in the disk's is detected or when the health node changes,     this class would be responsible to send the node's health to the health     node. currently this is simulated with a method that just logs the     current health.          the monitor keeps the last reported health, this way, if something fails     on the next check it will try to resend the new health state.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1
"refactor wildcardexpressionresolver to better track usages of indices lookup (#89000)          this is a pure refactoring of the wildcardexpressionresolver.     the objective is to restrict access to the indices lookup through the context parameter only.     eventually, security is going to plug into the context and only show a restricted view of the     indices lookup, particular to the user context.","[0, 0, 0, 0, 1, 0, 4, 2, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 9, 3, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 18, 17, 1, 1, 13, 0]",1,1,1
[transform] improve error handling in state persistence (#88910)          transform persists the internal state of a transform (e.g. the data cursor) in state document.     this change improves the error handling and fixes the problem described in #88905. a transform     can now recover from this problem.          fixes #88905,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1,0,0
further attempt at capturing reaper error logs     ,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 1, 2, 0]",1,0,0
"support source fallback for double, float, and half_float field types (#89010)          this change adds a sourcevaluefetchersorteddoubleindexfielddata to support double doc values types for source fallback. this also adds support for double, float and half_float field types.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 0]",0,0,1
preemptively initialize routing nodes and indices lookup on all node types (#89032)          follow up to #89005 running the initialization as soon as possible on non-master     nodes as well.     ,"[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0,0,1
"[ml] fix nlp inference_config bwc serialization tests (#89011)          the tests were failing because of span not being nulled out for question_answering and text_similarity tasks.          but, this change also attempts to make it more future proof so that if changes occur to the nlp task or tokenization configurations it will cause a failure more quickly and require handling the bwc testing.          closes: #89008","[0, 0, 0, 0, 10, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 18, 10, 0, 1, 8, 0]",1,0,0
"wrap ml model loading task in new tracing context (#89024)          part of #84369.          ml uses the task framework to register a tasks for each loaded model.     these tasks are not executed in the usual sense, and it does not make     sense to trace them using apm. therefore, make it possible to register     a task without also starting tracing.","[0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 1, 0, 0, 1, 0]",1,1,1
"wrap async search action logic in a new trace context (#88937)          part of #84369. split out from #88443. this pr wraps parts logic in     `transportsubmitasyncsearchaction` in a new tracing context. this is     necessary so that a tracing implementation can use the thread context     to propagate tracing headers, but without the code attempting to set the     same key twice in the thread context, which is illegal.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0]",1,1,1
ensure tests don't use flat polygons (#89002)          * ensure tests don't use flat polygons          polygons with colinear points cannot be tessellated.          * fixed test error message to not be box specific,"[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 0, 0, 0]",1,0,0
mute testblockclusterstateprocessingononenode (#89038)          related to: #89015,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,1,1
make it explicit that test expects no rebalancing (#89028)          this is required in case new shards allocator might be more proactive with rebalancing.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 5, 0]",1,1,1
"wrap async ql task execution in new tracing context (#89029)          part of #84369. split out from #88443. this pr wraps parts logic in     `asynctaskmanagementservice` in a new tracing context. this is     necessary so that a tracing implementation can use the thread context     to propagate tracing headers, but without the code attempting to set the     same key twice in the thread context, which is illegal.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0]",1,1,1
audit log bulk update of api keys (#88942)          this pr adds a new audit trail event for when api keys are updated in     bulk.          relates: #88758,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1
"preemptively compute routingnodes and the indices lookup during publication (#89005)          computing routing nodes and the indices lookup takes considerable time     for large states. both are needed during cluster state application and     prior to this change would be computed on the applier thread in all cases.     by running the creation of both objects concurrently to publication, the     many shards benchmark sees a 10%+ reduction in the bootstrap time to     50k indices.","[0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 2, 0, 0, 0]",0,1,1
"wrap enrich execute action in new tracing context (#89021)          part of #84369. split out from #88443. this pr wraps parts logic in     `internalexecutepolicyaction` in a new tracing context. this is     necessary so that a tracing implementation can use the thread context     to propagate tracing headers, but without the code attempting to set the     same key twice in the thread context, which is illegal.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0]",1,1,1
