commitMsg,changeType,bugFix,featureAddition,performanceImprovement
"Merge `Fixed typo in class description.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","0"
"Reword ambiguous documentation in Parcel          - original documentation for Parcel.unmarshall could be understood     both ways: Parcel written with bytes of data, data written with     bytes of Parcel          Test: Not applicable     Signed-off-by: danielzhang130 <danielzhang130@gmail.com>     Change-Id: I9afd3ae66ca03f391b272ac0524593395ffe53fa     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Improve docs for generated properties in PropertyMapper`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","0"
"Fixed typo in class description.          Change-Id: I0c2afdd0a8c914854d96e27c924ee74af488e1e4     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Set LE audio volume when audio mode is changed`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Track interfaces and roaming changed event history`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Revert `MediaCodec: don't cache buffers until requested`          This reverts commit 07358dfea5d63baf80608536c2a3dff6ed0f44e1.          Merged-In: I2e52c3abdd13fa0547a510b3599e082e3bff0989     Change-Id: I2e52c3abdd13fa0547a510b3599e082e3bff0989     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 0, 0, 0, 0]","0","1","1"
"Merge changes I2867a158,I98de12b5          * changes:     Allow shell uid without checking the package name.     Allow apps receiving MediaSession callbacks to start FGS from BG.     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Remove Time use.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Remove Time use.          Time is deprecated and there are better alternatives.          Bug: 16550209     Test: atest FrameworksSaxTests     Change-Id: I301d1075b4b64c4586c2e4d7d9b0a12e609fe064     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 1, 0]","1","1","1"
"Allow shell uid without checking the package name.          Bug: 230779051     Test: manual     Change-Id: I2867a15840a0987c948179e2f8069e652c4a0c1f     Merged-In: I2867a15840a0987c948179e2f8069e652c4a0c1f     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 2, 1, 0]","1","1","1"
"Allow apps receiving MediaSession callbacks to start FGS from BG.          If the app invoking the MediaSession callbacks is capable of     starting a FGS from background, then also allow the target app     receiving the callbacks to start FGS from background.          Bug: 221873343     Test: manual     Change-Id: I98de12b5410c3f0f70d7d2be12bef3e6d0e1bf73     Merged-In: I98de12b5410c3f0f70d7d2be12bef3e6d0e1bf73     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 21, 0, 0, 0]","1","1","1"
"Improve docs for generated properties in PropertyMapper          Change-Id: I1e927013d14731d3be5024bc581ebd664f878eb9     Test: N/A     Bug: 237226979     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"[NMS] Call isServiceTokenValidLocked with lock.          Method isServiceTokenValidLocked should be called with mNotificationLock     held, otherwise there will be race condition.          Bug: 236512598     Test: Manual     Change-Id: I7e24b5afe3d0a5233debf9da45200c2f4e1f570f     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0]","1","1","1"
"Merge `identity: Fix uncompressed form encoding of P-256 EC Public Key.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","0"
"identity: Fix uncompressed form encoding of P-256 EC Public Key.          Properly encode an P-256 EC Public Key in uncompressed form, in     particular ensure that the resulting blob is always 65 bytes long as     is expected.          Was able to reproduce this with about 4% failures running a     test. After the fix didn't get a failure in 1,000 runs.          Also remove unused Util.integerCollectionToArray() function.          Bug: 239857653     Test: atest --rerun-until-failure 1000  android.security.identity.cts.ProvisioningTest#testProvisionAndRetrieveMultipleTime     Change-Id: I9a8a5570fde5a80f74632606126cdfcc1f6c7c99     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 2, 4, 0]","1","1","1"
"Merge `RESTRICT AUTOMERGE Allowlist alarm-clock alarms from pre-S apps for FGS`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"RESTRICT AUTOMERGE Allowlist alarm-clock alarms from pre-S apps for FGS          FGS starts are allowed by default to apps targeting pre-S sdks. However,     on update their alarms may start getting denied if the app could not     reset its alarms.     Explicitly adding them to the allowlist to avoid this problem.          Test: atest FrameworksMockingServicesTests:AlarmManagerServiceTest     Test: Manual, using steps listed in b/238407723          Bug: 239098759     Bug: 238407723     Change-Id: I895901f0c870b161a8a4df92ebe93c873a55abc9     Merged-In: I895901f0c870b161a8a4df92ebe93c873a55abc9     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 0]","1","1","1"
"Merge `cleanupOrphanPA's feature framework (2/2)*`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Document return values from android.util.Log logging functions`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Fix javadoc typo for Bitmap.Config.RGBA_F16`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","0"
"Merge `Skip sending VpnManager events for Settings VPNs`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","0","1"
"Set LE audio volume when audio mode is changed          Bug: 230643532     Test: Checked the volume is changed when entering call mode     Change-Id: Iae20b03e998a8a6064a85d6e7cf4858c85448618     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]","1","1","1"
"Merge `Minor update canHandleType()`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"cleanupOrphanPA's feature framework (2/2)*          Bug: 210134615     Test: Unit + manual     Change-Id: Ic350e4e45c0d1597c6f61e3e3e717b3a2c1bb099     Merged-In: Ic350e4e45c0d1597c6f61e3e3e717b3a2c1bb099     ","[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 0, 1, 0]","1","1","1"
"Merge `Throw illegal state exception when service is not available`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Add always full location check to LocationAccessPolicy`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Merge `Update values for NR signal strength`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Throw illegal state exception when service is not available          Bug: 239607619     Test: Build     Change-Id: I84b3f813e798707d5564b54b6b2cc329f570908d     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0]","1","1","1"
"Merge `Grant the ACTIVATE_PLATFORM_VPN appop if VPN app has CONTROL_VPN`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Merge `Deprecate Debug.enableEmulatorTraceOutput()`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","0","1"
"Skip sending VpnManager events for Settings VPNs          This change early-exits from the sendEventToVpnManagerApp()     method if the profile was not a VPN app.          Otherwise the sendEventToVpnManagerApp() will call     getRedactedNetworkCapabilities() which will call     AppOpsManager#checkPackage() eventually.     And AppOpsManager#checkPackage() will check if the given package     is the same as the given uid. In this case, VPN sends     `[Legacy VPN]` as the package and sends 1000 as the uid, but     there is no package named `[Legacy VPN], so the SecurityException     is thrown.          Bug: 236315805     Test: atest FrameworksNetTests:VpnTest     Change-Id: I228f62a5e09017dbf985a614f2e42434238a220c     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Grant the ACTIVATE_PLATFORM_VPN appop if VPN app has CONTROL_VPN          This makes the VpnManager APIs consistent with VpnService, ensuring that apps relying on CONTROL_VPN and a separate consent dialog (per CDD) can work properly using the VpnManager. Without this patch, there is an inverted incentive to use the VpnService.          As a workaround, apps using this with CONTROL_VPN already can/do work around this by calling VpnService.prepareAndAuthorize().          Bug: 232051081     Test: atest FrameworksNetTests:VpnTest     Change-Id: I0e0566bb8fed2f9330889e031175c33d499fa855     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0]","1","1","1"
"Document return values from android.util.Log logging functions          Add a note about the return values from logging function since it was     asked in b/228523679.          Bug: 228523679     Fix: 228841312     Test: m     Change-Id: I39a3cad4ba10c4602e58ec9e88c7864ead4b9d85     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Add always full location check to LocationAccessPolicy          Check whether the package is allowlisted to always have full location     data.          Test: atest LocationAccessPolicyTest     Bug: 231445403     Change-Id: I33c5088b639595c8e0f89f3f2a926dfc5d830fcf     Merged-In: I33c5088b639595c8e0f89f3f2a926dfc5d830fcf     ","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Use Mockito 4.6.1 API`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Update values for NR signal strength          Ranges were the same as LTE values, which is incorrect.          Test: atest CellSignalStrengthNrTest     Bug: 234304714     Change-Id: I030c6aeec22556454955bb4f9671afe830bb9e2f     Merged-In: I030c6aeec22556454955bb4f9671afe830bb9e2f     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0]","1","1","1"
"Merge `Add explanation about the purpose of accessibility heading and use case apps should consider.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge changes from topic `jul15`          * changes:     Offer explicit 3-byte vs 4-byte modified UTF-8.     Cache least recently used output buffer.     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Offer explicit 3-byte vs 4-byte modified UTF-8.          As documented in art/runtime/jni/jni_internal.cc, ART has deviated     from the RI by using a 4-byte encoding instead of the 3-byte encoding     required by the JNI specification.          Some users are okay with this 4-byte encoding (where they control     both the reading and writing logic) but other users require     compatibility with the DataOutput/DataInput API contract, so this     change lets users request either behavior.          This change now exercises all tests in both 4-byte and 3-byte modes,     and exhaustively confirms that all valid code-points match the     DataOutput/DataInput contract when in 3-byte mode.          Benchmark results still show significant performance benefits when     using this 3-byte encoding over the upstream RI:          timeRead_Upstream_mean (ns):                  5090068     timeRead_LocalUsing3ByteSequences_mean (ns):  1996032     timeRead_LocalUsing4ByteSequences_mean (ns):  1813250          timeWrite_Upstream_mean (ns):                 3856276     timeWrite_LocalUsing3ByteSequences_mean (ns): 1632697     timeWrite_LocalUsing4ByteSequences_mean (ns):  886503          Bug: 236923096     Test: atest FrameworksCoreTests:CharsetUtilsTest     Test: atest FrameworksCoreTests:FastDataTest     Test: atest FrameworksCoreTests:XmlTest     Test: atest FrameworksCoreTests:BinaryXmlTest     Test: ./frameworks/base/libs/hwui/tests/scripts/prep_generic.sh little && atest CorePerfTests:FastDataPerfTest     Change-Id: Ibddd36410a0d4a909522de011f23a337b53d6889     ","[1, 0, 0, 0, 16, 5, 2, 2, 1, 0, 0, 5, 0, 0, 0, 1, 0, 0, 2, 6, 1, 3, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 40, 20, 0, 3, 13, 2]","1","1","1"
"Merge changes from topic `le-audio-broadcast-old-api`          * changes:     le_audio: Extend handling of Broadcaster as active device     AudioDeviceBroker: Extend createBtDeviceInfo with LE_AUDIO_BROADCAST     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","0","1","1"
"Add explanation about the purpose of accessibility heading and use case apps should consider.          Change-Id: I01bdd1fc89d54e62e9ce1f8dc15a58d13c56fabc     Test: N/A, documentation chang     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Merge `Fix CharsetUtf8PerfTest.`","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","1","1","1"
"Use Mockito 4.6.1 API          Bug: 236636175     Test: m RunBackupEncryptionRoboTests     Test: m RunBackupEncryptionIntegRoboTests     Test: m RunSettingsRoboTests     Test: m RunSettingsLibRoboTests     Change-Id: I0e301b641312f8cc4a235df5ec62acf1446cbb64     (cherry picked from commit 86203882dd66e79ca6f7d411257b2f5e32d3b722)     Merged-In: I0e301b641312f8cc4a235df5ec62acf1446cbb64     ","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0]","1","1","1"
